Title,Sottotitolo,Descrizione,Applicazioni,Video,Categories,Rigen
UNITA' ABBINATE FRENO FRIZIONI,FRENO FRIZIONE ACCOPPIATI: LA SOLUZIONE IDEALE PER APPLICAZIONI CON ELEVATE FREQUENZE DI INNESTI/ORA,,STAMPAGGIO|MINIERE|ACCIAIERIE|OIL & GAS|MARINO|CARTA E CARTONE,,STAMPAGGIO|MINIERE|ACCIAIERIE|OIL & GAS|MARINO|CARTA E CARTONE,1
LASTRE RIGIDE,PRODUZIONE DI LASTRE RIGIDE CON PIU' DI 30 TIPI DI MATERIALI DI ATTRITO,"Ima dispone di 30 tipi di materiali di attrito con cui può creare lastre (placche) di attrito in varie dimensioni rigide o semi-rigide Tali articoli sono versatili e utilizzati in tutte le applicazioni industriali.  Le dimensioni, in base alla tipologia di materiale possono essere : MI 00 704 (base kevlar ) 300x300 con spessore da 0,6 mm a 10 mm - tutti gli altri tipi di materiali 500x500 con spessore da 3 mm a 60 mm - 650x650 con spessore da 3 a 60 mm . Oltre alle dimensioni standard possiamo tagliare o modificare a misura in base alla richiesta/disegno del progetto."  ,EOLICO|STAMPAGGIO|MINIERE|ACCIAIERIE|OIL & GAS|MARINO|CARTA E CARTONE|AGRICOLTURA|SOLLEVAMENTO|PARCHI GIOCO E GIOSTRE|IDROELETTRICO|MOVIMENTAZIONE MATERIALI | ALTRI MERCATI,,EOLICO|STAMPAGGIO|MINIERE|ACCIAIERIE|OIL & GAS|MARINO|CARTA E CARTONE|AGRICOLTURA|SOLLEVAMENTO|PARCHI GIOCO E GIOSTRE|IDROELETTRICO|MOVIMENTAZIONE MATERIALI | ALTRI MERCATI,0
FRENI CENTRIFUGHI,FRENI CENTRIFUGHI INDUSTRIALI IMA: LA SOLUZIONE OTTIMALE PER APPLICAZIONI AD ALTE PRESTAZIONI,"I freni centrifughi industriali sono una soluzione ideale per applicazioni ad alte prestazioni. Sono progettati per applicazioni in cui è necessario un sistema di frenata affidabile e robusto, in grado di resistere a carichi elevati e condizioni di lavoro difficili. I freni centrifughi industriali sono disponibili in una varietà di dimensioni e modelli, per soddisfare le esigenze specifiche di ogni applicazione. Sono realizzati con materiali di alta qualità e sono progettati per durare a lungo. Se stai cercando un sistema di frenata affidabile e robusto per la tua applicazione industriale, i freni centrifughi industriali sono la scelta giusta per te. ",,,,0
FRENI A PINZA,PRODUZIONE DI SISTEMI FRENANTI A PINZA,Test descrizione,SOLLEVAMENTO|EOLICO|CARTA E CARTONE|ARTICOLI INDUSTRIALI|STAMPAGGIO|ALTRI MERCATI,,SOLLEVAMENTO|EOLICO|CARTA E CARTONE|ARTICOLI INDUSTRIALI|STAMPAGGIO|ALTRI MERCATI,0
ARTICOLI PER STAMPAGGIO,PARTI PER LO STAMPAGGIO SU PRESSA,"Le nostre pastiglie freno industriali sono la soluzione perfetta per le presse industriali e presse piegatrici. Sono realizzate con materiali di alta qualità e sono progettate per resistere a carichi elevati e condizioni di lavoro difficili. Offrono una frenata potente e affidabile, e sono disponibili in una varietà di dimensioni e materiali per adattarsi alle tue esigenze specifiche.

Sono una scelta ideale per le aziende che cercano un prodotto di alta qualità, affidabile e duraturo. ",STAMPAGGIO|ALTRI MERCATI,,STAMPAGGIO|ALTRI MERCATI,1
CEPPI FRENO PER BATTIPALO E TRIVELLAZIONI,PRODUZIONE DI CEPPI FRENO PER BATTIPALO E TRIVELLAZIONI,,OIL & GAS,,OIL & GAS,0
NASTRI IN ROTOLO,IMA: NASTRI FRENO INDUSTRIALI,"Produciamo nastri freno industriali per vari settori e applicazioni, tra cui gru, carroponti, ascensori e argani. 

I nostri nastri freno sono realizzati con materiali di alta qualità e sono progettati per durare a lungo, anche nelle condizioni di lavoro più difficili. Offriamo una varietà di nastri freno per soddisfare le tue esigenze, tra cui:

TAM 01: Nastro conglomerato morbido, flessibile e sagomabile, ideale per applicazioni leggere con vulcanizzazione a caldo sul supporto  RCI 21: Nastro conglomerato rinforzato da cariche metaliche, ideale per applicazioni medio pesanti, ideale per vulcanizzazione o fissaggio meccanico
SWR: Nastro con treccia di rame e cotone intrecciata con resina fenolica, ideale per applicazioni pesanti dove c'è contaminazioni di acqua/olio/altro.
Grazie al nostro laboratorio interno, possiamo vulcanizzare a caldo il materiale sul supporto di ganasce, ceppi e pasticche di tutte le dimensioni.

Vantaggi dei nostri nastri freno industriali

I nostri nastri freno industriali offrono una serie di vantaggi:

Alta qualità: i nostri nastri freno sono realizzati con materiali di alta qualità  europeo e sono progettati per durare a lungo.
Affidabilità: i nostri nastri freno sono progettati per resistere a carichi elevati e condizioni di lavoro difficili.
Sicurezza: i nostri nastri freno sono progettati per garantire la sicurezza di dove vengono collocati
Produttività: i nostri nastri freno sono progettati per aumentare la produttività della tua azienda.

Se stai cercando un nastro freno industriale di alta qualità, contattaci oggi per saperne di più sui nostri prodotti e servizi.",EOLICO|STAMPAGGIO|MINIERE|ACCIAIERIE|OIL & GAS|MARINO|CARTA E CARTONE|AGRICOLTURA|SOLLEVAMENTO|PARCHI GIOCO E GIOSTRE|IDROELETTRICO|MOVIMENTAZIONE MATERIALI|ALTRI MERCATI,,EOLICO|STAMPAGGIO|MINIERE|ACCIAIERIE|OIL & GAS|MARINO|CARTA E CARTONE|AGRICOLTURA|SOLLEVAMENTO|PARCHI GIOCO E GIOSTRE|IDROELETTRICO|MOVIMENTAZIONE MATERIALI|ALTRI MERCATI,1
CEPPI FRENO DRILLING,PRODUZIONE DI CEPPI FRENO PER IL SETTORE DRILLING/CEPPI FRENO SU MISURA PER ARGANI,,OIL & GAS,,OIL & GAS,0
ARTICOLI INDUSTRIALI,IMA:PRODUZIONE DI PARTICOLARI FRENANTI PER MACCHINARI INDUSTRIALI,,EOLICO|STAMPAGGIO|MINIERE|ACCIAIERIE|OIL & GAS|MARINO|CARTA E CARTONE|AGRICOLTURA|SOLLEVAMENTO|PARCHI GIOCO E GIOSTRE|IDROELETTRICO|MOVIMENTAZIONE MATERIALI|ALTRI MERCATI,,EOLICO|STAMPAGGIO|MINIERE|ACCIAIERIE|OIL & GAS|MARINO|CARTA E CARTONE|AGRICOLTURA|SOLLEVAMENTO|PARCHI GIOCO E GIOSTRE|IDROELETTRICO|MOVIMENTAZIONE MATERIALI,1
ANELLI E DISCHI FRENO,ANELLI E DISCHI IN MATERIALE DI ATTRITO,"Ima è specilizzata nella produzione di anelli semplici, dischi dentati o a misura, anelli conici o settori, per una varietà di applicazioni industriali tra cui motori elettrici, gru, argani, macchinari tessili e molto altro. I nostri prodotti sono realizzati con materiali di alta qualità e sono progettati per durare a lungo, anche nelle condizioni di lavoro più difficili. Ima può guidarti sulla scleta del materiale di attrito più idoneo per la la lavorazione finale. Per le applicazioni che lavorano in olio il materiale idoneo è il nostro MI 00 704, che grazie alla formula in Kevlar resiste al calore e non perde l'efficacia frenante. I dischi dentati Ima Freni sono la soluzione ideale per una varietà di applicazioni industriali, tra cui navale, motoriduttori, motopompe, settore agricolo, trasmissioni e accoppiamenti. I dischi dentati Ima Freni sono personalizzabili secondo disegno tecnico o campione, e sono realizzati con materiali di attrito ad altissima resistenza meccanica, come MI 00 501 e MI 00 201. I dischi dentati Ima Freni offrono una serie di vantaggi, tra cui: Alta affidabilità Lunga durata Resistenza alle sollecitazioni meccaniche Personalizzazione secondo disegno tecnico o campione Se stai cercando un disco dentato affidabile e durevole per la tua applicazione industriale, i dischi dentati Ima Freni sono la scelta giusta per te. Contattaci oggi per saperne di più sui nostri prodotti e servizi.",EOLICO|STAMPAGGIO|MINIERE|ACCIAIERIE|OIL & GAS|MARINO|CARTA E CARTONE|AGRICOLTURA|SOLLEVAMENTO|PARCHI GIOCO E GIOSTRE|IDROELETTRICO|MOVIMENTAZIONE MATERIALI|ALTRI MERCATI,,EOLICO|STAMPAGGIO|MINIERE|ACCIAIERIE|OIL & GAS|MARINO|CARTA E CARTONE|AGRICOLTURA|SOLLEVAMENTO|PARCHI GIOCO E GIOSTRE|IDROELETTRICO|MOVIMENTAZIONE MATERIALI|ALTRI MERCATI,0